priority,nodeId,path,cluster,role,tier,urlEquityClass,businessPriority,historicalEvidence,parentDependency,dependencyReady,releaseAfter,contentStatus,recommendedBatch
1,MONEY_NOTEBOOK,/รับซื้อโน๊ตบุ๊ค/,notebook,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 4, Imp(90d): 330",CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
2,CORE_HOME,/,core,HOME,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 4, Imp(90d): 170",NONE,READY,NOW_ACTIVE,READY,Batch 0 — Foundation & Core Money Hubs
3,MONEY_CAMERA,/รับซื้อกล้อง/,camera,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 2, Imp(90d): 57",CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
4,MONEY_COMPUTER,/รับซื้อคอม/,computer,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 1, Imp(90d): 63",CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
5,CORE_BUY_HUB,/รับซื้อ/,core,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,"Clicks(90d): 0, Imp(90d): 15",CORE_HOME,READY,CORE_HOME,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
6,CORE_PRICE_CHECK,/เช็กราคาก่อนขาย/,valuation,VALUATION_GUIDE,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,"Clicks(90d): 0, Imp(90d): 5",CORE_HOME,READY,CORE_HOME,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
7,CORE_HOW_TO_SELL,/วิธีขาย/,guide,HOW_TO,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_HOME,READY,CORE_HOME,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
8,CORE_ABOUT,/เกี่ยวกับ/,trust,TRUST,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_HOME,READY,CORE_HOME,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
9,CORE_CONTACT,/ติดต่อ/,trust,TRUST,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_HOME,READY,CORE_HOME,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
10,TRUST_PROOF,/ผลงาน/,trust,TRUST,STRATEGIC_NEW,NEW_STRATEGIC_NODE,HIGH,Strategic New Node,CORE_ABOUT,PENDING,CORE_ABOUT,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
11,MONEY_MACBOOK,/รับซื้อแมคบุ๊ค/,macbook,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,Strategic New Node,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
12,MONEY_IPHONE,/รับซื้อไอโฟน/,iphone,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,Strategic New Node,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
13,MONEY_IPAD,/รับซื้อไอแพด/,ipad,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,Strategic New Node,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
14,MONEY_SPEAKER,/รับซื้อลำโพง/,audio,MONEY_HUB,TIER_1_HIGH_EQUITY,B_PRESERVE_IMPROVE,HIGH,Strategic New Node,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,CONTENT_REQUIRED,Batch 0 — Foundation & Core Money Hubs
15,LOCAL_NOTEBOOK_UBON,/รับซื้อโน๊ตบุ๊คอุบล-notebook-laptop-จ/,notebook,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 75, Imp(90d): 973",MONEY_NOTEBOOK,PENDING,MONEY_NOTEBOOK,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
16,LOCAL_COMPUTER_UDON,/รับซื้อคอม-อุดรธานี/,computer,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 45, Imp(90d): 498",MONEY_COMPUTER,PENDING,MONEY_COMPUTER,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
17,LOCAL_COMPUTER_KHONKAEN,/รับซื้อคอม-ขอนแก่น/,computer,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 26, Imp(90d): 496",MONEY_COMPUTER,PENDING,MONEY_COMPUTER,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
18,LOCAL_PHONE_REGIONAL,/รับซื้อโทรศัพท์มือถือ-จ/,iphone,LOCAL_MONEY,TIER_1_HIGH_EQUITY,A_PRESERVE_REWRITE,HIGH,"Clicks(90d): 25, Imp(90d): 746",MONEY_IPHONE,PENDING,MONEY_IPHONE,CONTENT_REQUIRED,Batch 1 — High-Equity Historical Money URLs
