nodeId,path,pageType,role,cluster,tier,parentDependency,dependencyReady,releaseAfter,recommendedBatch,recommendedTitleDirection,recommendedH1Direction,userProblem,conversionGoal,requiredSections,optionalSections,FAQIntent,schemaTypes,contentDifferentiation
MONEY_NOTEBOOK,/รับซื้อโน๊ตบุ๊ค/,MONEY_HUB,MONEY_HUB,notebook,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อโน๊ตบุ๊ค มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อโน๊ตบุ๊ค มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายnotebook แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for notebook valuation; real price calculation parameters
CORE_HOME,/,HOME,HOME,core,TIER_1_HIGH_EQUITY,NONE,READY,NOW_ACTIVE,Batch 0 — Foundation & Core Money Hubs,เรารับซื้อ.com — ศูนย์รวมรับซื้อสินค้าไอที มือสอง เช็กราคา เข้าใจสภาพ แล้วค่อยตัดสินใจ,เรารับซื้อสินค้าไอที มือสอง — เช็กราคายุติธรรม ประเมินตามสภาพจริง,มีสินค้าไอทีเก่า/ไม่ได้ใช้ อยากขายแต่ไม่รู้ราคากลาง กลัวโดนกดราคา หรือหาร้านรับซื้อที่ไว้ใจได้ยาก,ส่งรูปถ่ายและสเปกเครื่องผ่าน LINE Official เพื่อรับการประเมินราคาทันที,"Hero Banner with Brand Positioning | Category Grid (8 core hubs) | Valuation Steps (""ก่อนขาย เช็กราคา เข้าใจสภาพ"") | Real Proof / Reviews | FAQ | Trust Badges",Latest Market Trends | Popular Search Models,รับซื้อสินค้าอะไรบ้าง / ประเมินราคาอย่างไร / จ่ายเงินสดหรือโอน / รับซื้อถึงที่ไหม,"WebSite, Organization, LocalBusiness",Positioning as an authoritative buyback guide rather than aggressive pawn/flea market aggregator
MONEY_CAMERA,/รับซื้อกล้อง/,MONEY_HUB,MONEY_HUB,camera,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อกล้อง มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อกล้อง มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายcamera แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for camera valuation; real price calculation parameters
MONEY_COMPUTER,/รับซื้อคอม/,MONEY_HUB,MONEY_HUB,computer,TIER_1_HIGH_EQUITY,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs,รับซื้อคอมพิวเตอร์ มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อคอมพิวเตอร์ มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายcomputer แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for computer valuation; real price calculation parameters
CORE_BUY_HUB,/รับซื้อ/,MONEY_HUB,MONEY_HUB,core,TIER_1_HIGH_EQUITY,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs,รับซื้อสินค้าไอที มือสอง ให้ราคาสูง ประเมินไว | เรารับซื้อ.com,รับซื้อสินค้าไอที มือสอง — เช็กราคากลาง ทุกรุ่น ทุกสภาพ,ต้องการขายcore แต่ไม่ทราบมูลค่าปัจจุบัน หรือเครื่องมีตำหนิ/ไม่มีอุปกรณ์,ส่งข้อมูลรุ่น สเปก และรูปถ่ายเพื่อประเมินราคา,Category Hero | Model Valuation Matrix | Accepted Condition Tiers | 3-Step Selling Workflow | Inspection Checklist | FAQ | Location / Coverage,Price Trend Table | Common Defect Deductions,รุ่นไหนรับซื้อบ้าง / เครื่องมีตำหนิรับไหม / หักราคาอย่างไร / ใช้เอกสารอะไรบ้าง,"Service, ItemPage, FAQPage",Specific technical hardware checklist for core valuation; real price calculation parameters
CORE_PRICE_CHECK,/เช็กราคาก่อนขาย/,VALUATION_GUIDE,VALUATION_GUIDE,valuation,STRATEGIC_NEW,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs,เช็กราคาก่อนขาย — ทำความเข้าใจเกณฑ์ประเมินราคากลาง และขั้นตอนส่งรูปประเมิน | เรารับซื้อ.com,เช็กราคาก่อนขายสินค้าไอที — ส่งรูปและสเปกเพื่อรับราคาประเมินเบื้องต้น,ต้องการทราบวิธีประเมินราคา ข้อมูลที่ต้องเตรียม และขั้นตอนการส่งรูปเช็กราคาที่ถูกต้อง,ส่งรูปถ่าย 4 มุม สเปก และอุปกรณ์ที่มีผ่าน LINE เพื่อประเมินราคา,Valuation Workflow (How We Evaluate) | Required Information Intake Checklist | Condition Factors Overview | Spec Identification Guide | Direct Line Contact,Estimated Turnaround Time | Sample Quotation Chat,ส่งรูปแล้วใช้เวลานานไหม / ประเมินราคาฟรีไหม / ราคาส่งรูปกับหน้าร้านตรงกันไหม,"Article, Guide, FAQPage",Valuation Intake & Consultation Hub (NOT an automated calculator) explaining real human appraisal criteria
CORE_HOW_TO_SELL,/วิธีขาย/,HOW_TO,HOW_TO,guide,STRATEGIC_NEW,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs,วิธีขายและขั้นตอนการรับซื้อ — ขั้นตอนอย่างละเอียด ปลอดภัย 100% | เรารับซื้อ.com,วิธีขายและขั้นตอนการรับซื้อ,กังวลเรื่องข้อมูลส่วนตัวหลุด หรือไม่รู้วิธีเตรียมเครื่องก่อนส่งมอบ,ทำตามขั้นตอนล้างเครื่องแล้วส่งมอบเครื่องพร้อมรับเงิน,Step-by-Step Visual Checklist | Account Logout Procedures (iOS/Android/Windows/macOS) | Data Erasure Standards | FAQ,Troubleshooting Stuck Accounts | Backup Methods,ล้างข้อมูลแล้วกู้คืนได้ไหม / ลืมรหัสผ่านทำอย่างไร / ต้องเอาซิมการ์ดออกไหม,"HowTo, FAQPage",Actionable step-by-step instructions protecting customer privacy and preventing locked device rejections
CORE_ABOUT,/เกี่ยวกับ/,TRUST,TRUST,trust,STRATEGIC_NEW,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs,เกี่ยวกับเรา | เรารับซื้อ.com,เกี่ยวกับเรา,ต้องการตรวจสอบความน่าเชื่อถือ สัญญาซื้อขาย และตัวตนของร้านก่อนตกลงขาย,เพิ่มความมั่นใจในการทำธุรกรรม ติดต่อขายสินค้าอย่างสบายใจ,Business Credentials & Verification | Fair Valuation Code of Conduct | Purchase Contract Template | Customer Testimonials | Contact Details,Store Front Images | Business Registration,มีสัญญาซื้อขายไหม / ปลอดภัยไหม / มีหน้าร้านจริงไหม,"AboutPage, Organization","Concrete proof of legitimate commercial trade, legal buyback compliance, and zero predatory pawn tactics"
CORE_CONTACT,/ติดต่อ/,TRUST,TRUST,trust,STRATEGIC_NEW,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs,ติดต่อเรา | เรารับซื้อ.com,ติดต่อเรา,ต้องการตรวจสอบความน่าเชื่อถือ สัญญาซื้อขาย และตัวตนของร้านก่อนตกลงขาย,เพิ่มความมั่นใจในการทำธุรกรรม ติดต่อขายสินค้าอย่างสบายใจ,Business Credentials & Verification | Fair Valuation Code of Conduct | Purchase Contract Template | Customer Testimonials | Contact Details,Store Front Images | Business Registration,มีสัญญาซื้อขายไหม / ปลอดภัยไหม / มีหน้าร้านจริงไหม,"AboutPage, Organization","Concrete proof of legitimate commercial trade, legal buyback compliance, and zero predatory pawn tactics"
TRUST_PROOF,/ผลงาน/,TRUST,TRUST,trust,STRATEGIC_NEW,CORE_ABOUT,PENDING,CORE_ABOUT,Batch 0 — Foundation & Core Money Hubs,ผลงานและความน่าเชื่อถือ | เรารับซื้อ.com,ผลงานและความน่าเชื่อถือ,ต้องการตรวจสอบความน่าเชื่อถือ สัญญาซื้อขาย และตัวตนของร้านก่อนตกลงขาย,เพิ่มความมั่นใจในการทำธุรกรรม ติดต่อขายสินค้าอย่างสบายใจ,Business Credentials & Verification | Fair Valuation Code of Conduct | Purchase Contract Template | Customer Testimonials | Contact Details,Store Front Images | Business Registration,มีสัญญาซื้อขายไหม / ปลอดภัยไหม / มีหน้าร้านจริงไหม,"AboutPage, Organization","Concrete proof of legitimate commercial trade, legal buyback compliance, and zero predatory pawn tactics"
