nodeId,parentNode,concept,pageType,role,cluster,primaryIntent,businessPriority,recommendedPublicPath,historicalPathCandidate,newOrHistorical,tier,contentRequired,indexRecommendation,parentDependency,dependencyReady,releaseAfter,batch
CORE_HOME,ROOT,หน้าแรก — ศูนย์รวมบริการรับซื้อสินค้าไอทีและประเมินราคากลาง,HOME,HOME,core,general_buyback_authority,HIGH,/,/,HISTORICAL,TIER_1_HIGH_EQUITY,READY,INDEX,NONE,READY,NOW_ACTIVE,Batch 0 — Foundation & Core Money Hubs
CORE_BUY_HUB,CORE_HOME,รับซื้อสินค้าไอที — รวมหมวดหมู่รับซื้อและขั้นตอนการขาย,MONEY_HUB,MONEY_HUB,core,commercial_all_categories,HIGH,/รับซื้อ/,/รับซื้อ/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs
CORE_PRICE_CHECK,CORE_HOME,เช็กราคาก่อนขาย — ศูนย์ให้ข้อมูลการประเมินราคา วิธีส่งรูปเช็กราคา และเกณฑ์ราคากลาง (Valuation Intake),VALUATION_GUIDE,VALUATION_GUIDE,valuation,valuation_intake_decision_hub,HIGH,/เช็กราคาก่อนขาย/,NONE,NEW,STRATEGIC_NEW,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs
CORE_HOW_TO_SELL,CORE_HOME,วิธีขายและขั้นตอนการรับซื้อ — ขายหน้าร้าน vs รับซื้อถึงที่ vs จัดส่ง,HOW_TO,HOW_TO,guide,selling_process_flow,HIGH,/วิธีขาย/,NONE,NEW,STRATEGIC_NEW,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs
CORE_ABOUT,CORE_HOME,เกี่ยวกับเรา — นโยบายความโปร่งใส E-E-A-T และทะเบียนพาณิชย์,TRUST,TRUST,trust,brand_identity_transparency,HIGH,/เกี่ยวกับ/,NONE,NEW,STRATEGIC_NEW,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs
CORE_CONTACT,CORE_HOME,ติดต่อเรา — ช่องทางส่งรูปประเมินราคา เบอร์โทร และจุดนัดรับซื้อ,TRUST,TRUST,trust,contact_channels,HIGH,/ติดต่อ/,NONE,NEW,STRATEGIC_NEW,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_HOME,READY,CORE_HOME,Batch 0 — Foundation & Core Money Hubs
TRUST_PROOF,CORE_ABOUT,ผลงานและความน่าเชื่อถือ — รีวิวจริง ไม่กดราคาหน้าร้าน สัญญาซื้อขายถูกต้อง,TRUST,TRUST,trust,trust_transparency_proof,HIGH,/ผลงาน/,NONE,NEW,STRATEGIC_NEW,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_ABOUT,PENDING,CORE_ABOUT,Batch 0 — Foundation & Core Money Hubs
MONEY_NOTEBOOK,CORE_BUY_HUB,รับซื้อโน๊ตบุ๊ค — ศูนย์รับซื้อแล็ปท็อป เกมมิ่งโน๊ตบุ๊ค ทุกรุ่นทุกสภาพ,MONEY_HUB,MONEY_HUB,notebook,commercial_notebook_buyback,HIGH,/รับซื้อโน๊ตบุ๊ค/,/รับซื้อโน๊ตบุ๊ค/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
MONEY_COMPUTER,CORE_BUY_HUB,รับซื้อคอมพิวเตอร์ — รับซื้อ PC คอมประกอบ คอมตั้งโต๊ะ คอมเกมมิ่ง ทุกสเปก,MONEY_HUB,MONEY_HUB,computer,commercial_pc_buyback,HIGH,/รับซื้อคอม/,/รับซื้อคอม/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
MONEY_MACBOOK,CORE_BUY_HUB,"รับซื้อแมคบุ๊ค — รับซื้อ MacBook Pro, MacBook Air ชิป Apple Silicon และ Intel (Canonical Hub)",MONEY_HUB,MONEY_HUB,macbook,commercial_macbook_buyback,HIGH,/รับซื้อแมคบุ๊ค/,/รับซื้อแมคบุ๊ค/,HISTORICAL,TIER_1_HIGH_EQUITY,CONTENT_REQUIRED,HOLD_NOINDEX,CORE_BUY_HUB,PENDING,CORE_BUY_HUB,Batch 0 — Foundation & Core Money Hubs
