path,legacySource,wpPostId,legacyTitle,legacyCanonical,legacyIndexable,legacySitemap,historicalEvidence,equivalentPath,recommendedState,redirectTarget,confidence,reason,ownerReviewRequired
"/100-อันดับ-กล้อง-fujifilm-ในตลาดมือ/","NONE (non-existent typo URL)","N/A","N/A","N/A","NO","NO","Non-existent URL variation of 10-อันดับ-กล้อง-fujifilm. 0 word count, no historical ranking/traffic value.","/รับซื้อกล้อง/","DRAFT","","HIGH","Non-existent typo pattern. Marked as DRAFT (HTTP 404 private) to prevent index clutter.","NO"
"/10-อันดับ-กล้อง-fujifilm-ในตลาดมือ/","src/content/posts/1352.md","1352","10 อันดับ กล้อง Fujifilm ในตลาดมือสอง","/รับซื้อกล้อง/","NO (noindex: true)","NO","Legacy thin ranking post (40 words). Set to noindex in V1 with canonical to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","Archived thin blog post not selected for survivor rebuild. Retained as DRAFT (HTTP 404 private).","NO"
"/1090/","src/content/posts/1090.md","1090","รับซื้อไอแพด แอร์ 6 iPad Air 6 อุบล","self","NO (noindex: true in V1 cleanup)","NO","Raw WordPress numeric post ID for 1090.md. Canonical slug was /รับซื้อไอแพด-แอร์-6-ipad-air-6-อุบล/. Not in 63 approved survivors.","/รับซื้อไอแพด/","DRAFT","","HIGH","WordPress internal numeric ID alias. Retained as DRAFT (HTTP 404 private).","NO"
"/1199/","src/content/posts/1199.md","1199","ขายโน๊ตบุ๊คอุบล","self","NO (noindex: true)","NO","Raw WordPress numeric post ID for 1199.md (ขายโน๊ตบุ๊คอุบล, 189 words). Not in 63 approved survivors.","/รับซื้อโน๊ตบุ๊ค/","DRAFT","","HIGH","WordPress internal numeric ID alias. Retained as DRAFT (HTTP 404 private).","NO"
"/1209/","src/content/quarantine/off-topic/1209.md","1209","ขายโน๊ตบุ๊คอุบล | รับซื้อโน๊ตบุ๊คอุบลราชธานี","self","NO (quarantined/gone)","NO","Raw WordPress numeric post ID for 1209.md. Corresponding semantic slug /ขายโน๊ตบุ๊คอุบล-รับซื้/ is in 208 GONE baseline.","NONE","DRAFT","","HIGH","Internal numeric ID for quarantined post. Semantic slug handled by 410 GONE. Numeric alias retained as DRAFT (HTTP 404 private).","NO"
"/1216/","src/content/quarantine/off-topic/1216.md","1216","รับซื้อโน๊ตบุ๊คมือสอง อุบล | ขายโน๊ตบุ๊คอุบล | รับซื้อโน๊ตบุ๊คอุบลราชธานี","self","NO (quarantined/gone)","NO","Raw WordPress numeric post ID for 1216.md. Corresponding semantic slug /รับซื้อโน๊ตบุ๊คมือสอง-อ/ is in 208 GONE baseline.","NONE","DRAFT","","HIGH","Internal numeric ID for quarantined post. Semantic slug handled by 410 GONE. Numeric alias retained as DRAFT (HTTP 404 private).","NO"
"/1230/","src/content/posts/1230.md","1230","ข้อดีที่ทำให้กล้อง Canon EOS M50 น่าสนใจ","/รับซื้อกล้อง/","NO (noindex: true, 41 words)","NO","Raw WordPress numeric post ID for 1230.md (thin blog post, 41 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin post. Retained as DRAFT (HTTP 404 private).","NO"
"/1340/","src/content/posts/1340.md","1340","รับซ่อมคอมพิวเตอร์ ยโสธร","self","NO (noindex: true, off-topic repair)","NO","Raw WordPress numeric post ID for 1340.md (123 words, off-topic repair service). Not in 63 approved survivors.","/รับซื้อคอม/","DRAFT","","HIGH","WordPress internal numeric ID alias for off-topic repair post. Retained as DRAFT (HTTP 404 private).","NO"
"/1352/","src/content/posts/1352.md","1352","10 อันดับ กล้อง Fujifilm ในตลาดมือสอง","/รับซื้อกล้อง/","NO (noindex: true)","NO","Raw WordPress numeric post ID for 1352.md (10-อันดับ-กล้อง-fujifilm, 40 words). Canonical pointed to /รับซื้อกล้อง/.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias. Retained as DRAFT (HTTP 404 private).","NO"
"/1362/","src/content/posts/1362.md","1362","รับซื้อกล้อง ได้เงินทันใจ","/รับซื้อกล้อง/","NO (noindex: true, 35 words)","NO","Raw WordPress numeric post ID for 1362.md (thin post, 35 words). Canonical pointed to /รับซื้อกล้อง/. Not in 63 approved survivors.","/รับซื้อกล้อง/","DRAFT","","HIGH","WordPress internal numeric ID alias for thin post. Retained as DRAFT (HTTP 404 private).","NO"
